CtryCode2, StateProvinceCode
US,UT
US,WI
US,NC
CA,ON
BR,GO
DO,DR
US,MA
US,MI
CA,NB
US,TN
US,NH
US,AK
US,OK
BR,CE
BR,PB
US,KY
US,CO
BR,PI
US,NV
US,SD
BR,SP
AU,VI
AR,RN
AR,ER
BR,DF
AR,SL
AR,CR
US,PA
AR,CH
CA,NU
BR,RS
US,WV
US,GA
US,RI
US,IN
BR,SE
AU,TS
US,DC
AU,NT
CA,BC
US,MD
US,OR
AR,SJ
BR,RJ
CA,QC
US,CT
US,AR
US,MN
AU,AC
US,AL
US,ID
US,TX
US,NM
AU,NS
US,ND
BR,RO
US,ME
AU,QL
BR,PR
BR,ES
US,IL
US,MO
US,SC
CA,NL
BR,AM
CA,YT
US,DE
US,FL
AR,BA
US,CA
AR,LP
BR,TO
AR,LR
US,WY
US,HI
AR,CD
GB,UK
US,OH
US,NE
CA,SK
BR,MG
US,VT
AR,PJ
US,NY
AR,CB
US,MS
AU,SA
AR,FO
US,NJ
CA,AB
AR,TU
US,IA
US,KS
AR,TF
US,LA
AU,WA
BR,RR
BR,AP
BR,PE
CA,MB
US,AZ
AR,SF
BR,FN
BR,MT
US,VA
