"Carlo Bonaparte",null,false,1746,1785,null,null,null
"Letizia Ramolino",null,false,1750,1836,null,null,null
"Joseph Bonaparte","Joseph I",false,1768,1844,"6 Jun 1808","11 Dec 1813","King of Spain"
"Napoleon Bonaparte","Napoleon I",false,1769,1821,"18 May 1804","22 Jun 1815","Emperor of the French"
"Lucien Bonaparte",null,false,1775,1840,null,null,null
"Elisa Bonaparte","Elisa Bonaparte",false,1777,1820,"3 Mar 1809","1 Feb 1814","Grand Duchess of Tuscany"
"Louis Bonaparte","Louis I",false,1778,1846,"5 Jun 1806","1 Jul 1810","King of Holland"
"Pauline Bonaparte",null,false,1780,1825,null,null,null
"Caroline Bonaparte",null,false,1782,1839,null,null,null
"Jerome Bonaparte","Jerome I",false,1784,1860,"8 Jul 1807","26 Oct 1813","King of Westphalia"
"Marie Louise of Austria",null,false,1791,1847,null,null,"Empress Consort of the French"
"Josephine of Beauharnais",null,false,1763,1814,null,null,"Empress Consort of the French"
"Alexandre of Beauharnais",null,false,1760,1794,null,null,null
"Betsy Patterson",null,false,1785,1879,null,null,null
"Catharina of Wurttemberg",null,false,1783,1835,null,null,"Queen Consort of Westphalia"
"Francois Bonaparte","Napoleon II",false,1811,1832,"22 Jun 1815","7 Jul 1815","Emperor of the French"
"Hortense of Beauharnais",null,false,1783,1837,null,null,"Queen Consort of Holland"
"Jerome Napoleon",null,false,1805,1870,null,null,null
"Prince Napoleon",null,false,1822,1891,null,null,null
"Louis Napoleon","Napoleon III",true,1808,1873,"2 Dec 1852","4 Sep 1870","Emperors of the French"
"Napoleon-Louis Bonaparte","Louis II",false,1804,1831,"1 Jul 1810","13 Jul 1810","King of Holland"
"Napoleon IV Eugene",null,true,1856,1879,null,null,null
"Napoleon V Victor",null,true,1862,1926,null,null,null
"Marie Clotilde Bonaparte",null,false,1912,1996,null,null,null
"Napoleon VI Louis",null,true,1914,1997,null,null,null
"Napoleon VII Charles",null,true,1950,null,null,null,null
"Napoleon VIII Jean-Christophe",null,true,1986,null,null,null,null
"Sophie Catherine Bonaparte",null,false,1992,null,null,null,null
