"Carlo Bonaparte","Letizia Ramolino","spouse"
"Carlo Bonaparte","Joseph Bonaparte","child"
"Letizia Ramolino","Joseph Bonaparte","child"
"Carlo Bonaparte","Napoleon Bonaparte","child"
"Letizia Ramolino","Napoleon Bonaparte","child"
"Carlo Bonaparte","Lucien Bonaparte","child"
"Letizia Ramolino","Lucien Bonaparte","child"
"Carlo Bonaparte","Elisa Bonaparte","child"
"Letizia Ramolino","Elisa Bonaparte","child"
"Carlo Bonaparte","Louis Bonaparte","child"
"Letizia Ramolino","Louis Bonaparte","child"
"Carlo Bonaparte","Pauline Bonaparte","child"
"Letizia Ramolino","Pauline Bonaparte","child"
"Carlo Bonaparte","Caroline Bonaparte","child"
"Letizia Ramolino","Caroline Bonaparte","child"
"Carlo Bonaparte","Jerome Bonaparte","child"
"Letizia Ramolino","Jerome Bonaparte","child"
"Napoleon Bonaparte","Marie Louise of Austria","spouse"
"Napoleon Bonaparte","Francois Bonaparte","child"
"Marie Louise of Austria","Francois Bonaparte","child"
"Napoleon Bonaparte","Josephine of Beauharnais","spouse"
"Alexandre of Beauharnais","Josephine of Beauharnais","spouse"
"Alexandre of Beauharnais","Hortense of Beauharnais","child"
"Josephine of Beauharnais","Hortense of Beauharnais","child"
"Louis Bonaparte","Hortense of Beauharnais","spouse"
"Louis Bonaparte","Louis Napoleon","child"
"Hortense of Beauharnais","Louis Napoleon","child"
"Louis Bonaparte","Napoleon-Louis Bonaparte","child"
"Hortense of Beauharnais","Napoleon-Louis Bonaparte","child"
"Jerome Bonaparte","Betsy Patterson","spouse"
"Jerome Bonaparte","Jerome Napoleon","child"
"Betsy Patterson","Jerome Napoleon","child"
"Jerome Bonaparte","Catharina of Wurttemberg","spouse"
"Jerome Bonaparte","Prince Napoleon","child"
"Catharina of Wurttemberg","Prince Napoleon","child"
"Louis Napoleon","Napoleon IV Eugene","child"
"Prince Napoleon","Napoleon V Victor","child"
"Napoleon V Victor","Napoleon VI Louis","child"
"Napoleon V Victor","Marie Clotilde Bonaparte","child"
"Napoleon VI Louis","Napoleon VII Charles","child"
"Napoleon VII Charles","Napoleon VIII Jean-Christophe","child"
"Napoleon VII Charles","Sophie Catherine Bonaparte","child"
